,source_data,source_location_of_data,source_comments_from_Tang_validation,data_cross_check_complete,UCYN_A_qPCR_assays_used,methods_sampling_analysis,time,lat,lon,depth,UCYN_A1_nifH_gene,UCYN_A2_A3_A4_nifH_gene,total_UCYN_A__nifH_gene,UCYN_B_nifH_gene,UCYN_C_nifH_gene,trichodesmium_nifH_gene,richelia_nifH_gene,calothrix_nifH_gene,richelia_associated_species,calothrix_associated_species,notes
10,"Andreas Krupke et al., 2013. Systematic and applied microbiology",data from table 3,,Y,Church 2005 (A1),qPCR,2010-12-05 00:00:00,16.76,-25.12,1.0,403000,,,68400.0,,,,,,,
11,"Andreas Krupke et al., 2013. Systematic and applied microbiology",data from table 3,,Y,Church 2005 (A1),qPCR,2010-12-08 00:00:00,16.76,-25.12,1.0,123000,,,60600.0,,,,,,,
12,"Takuhei Shiozaki et al., 2014. Continental Shelf Research",data shown in Figures 6 and 9,"data verified directly with Shiozaki. He also verified that all ""nan"" were ""below detection limit""",Y,Shiozaki 2014 (A1),qPCR,05/13/2010,21.366666666666667,122.0,5.0,19274.35045264045,,,91149.51465238658,,463862.37536909187,,,,,
13,"Takuhei Shiozaki et al., 2014. Continental Shelf Research",data shown in Figures 6 and 9,"data verified directly with Shiozaki. He also verified that all ""nan"" were ""below detection limit""",Y,Shiozaki 2014 (A1),qPCR,05/13/2010,21.366666666666667,122.0,23.0,37983.366354358004,,,249267.83574810252,,254840.2714455293,,,,,
14,"Takuhei Shiozaki et al., 2014. Continental Shelf Research",data shown in Figures 6 and 9,"data verified directly with Shiozaki. He also verified that all ""nan"" were ""below detection limit""",Y,Shiozaki 2014 (A1),qPCR,05/13/2010,21.366666666666667,122.0,61.0,50052.302940338464,,,185475.21547191954,,16331.574804322163,,,,,
15,"Takuhei Shiozaki et al., 2014. Continental Shelf Research",data shown in Figures 6 and 9,"data verified directly with Shiozaki. He also verified that all ""nan"" were ""below detection limit""",Y,Shiozaki 2014 (A1),qPCR,05/13/2010,21.366666666666667,122.0,83.0,45861.56981192934,,,4247.1306802969075,,6349.288760930617,,,,,
16,"Takuhei Shiozaki et al., 2014. Continental Shelf Research",data shown in Figures 6 and 9,"data verified directly with Shiozaki. He also verified that all ""nan"" were ""below detection limit""",Y,Shiozaki 2014 (A1),qPCR,05/13/2010,21.366666666666667,122.0,110.0,86637.27160500654,,,5243.642089219405,,2090.1611295456355,,,,,
17,"Takuhei Shiozaki et al., 2014. Continental Shelf Research",data shown in Figures 6 and 9,"data verified directly with Shiozaki. He also verified that all ""nan"" were ""below detection limit""",Y,Shiozaki 2014 (A1),qPCR,05/13/2010,21.366666666666667,122.0,142.0,8669.793770102355,,,5505.974408416091,,5186.086628528167,,,,,
18,"Takuhei Shiozaki et al., 2014. Continental Shelf Research",data shown in Figures 6 and 9,"data verified directly with Shiozaki. He also verified that all ""nan"" were ""below detection limit""",Y,Shiozaki 2014 (A1),qPCR,05/13/2010,21.366666666666667,122.0,200.0,1020.7344368688139,,,0.0,,8222.213828917442,,,,,
19,"Takuhei Shiozaki et al., 2014. Continental Shelf Research",data shown in Figures 6 and 9,"data verified directly with Shiozaki. He also verified that all ""nan"" were ""below detection limit""",Y,Shiozaki 2014 (A1),qPCR,05/13/2010,21.366666666666667,122.5,5.0,4055.990380013792,,,42548.76745548071,,161788.0207739209,,,,,
20,"Takuhei Shiozaki et al., 2014. Continental Shelf Research",data shown in Figures 6 and 9,"data verified directly with Shiozaki. He also verified that all ""nan"" were ""below detection limit""",Y,Shiozaki 2014 (A1),qPCR,05/13/2010,21.366666666666667,122.5,15.0,9312.638976353404,,,113729.6668494081,,266669.14406825235,,,,,
21,"Takuhei Shiozaki et al., 2014. Continental Shelf Research",data shown in Figures 6 and 9,"data verified directly with Shiozaki. He also verified that all ""nan"" were ""below detection limit""",Y,Shiozaki 2014 (A1),qPCR,05/13/2010,21.366666666666667,122.5,30.0,7805.528104406519,,,160424.14780652118,,429762.3893441667,,,,,
22,"Takuhei Shiozaki et al., 2014. Continental Shelf Research",data shown in Figures 6 and 9,"data verified directly with Shiozaki. He also verified that all ""nan"" were ""below detection limit""",Y,Shiozaki 2014 (A1),qPCR,05/13/2010,21.366666666666667,122.5,50.0,28683.01281587103,,,144960.8534124811,,186606.92953013288,,,,,
23,"Takuhei Shiozaki et al., 2014. Continental Shelf Research",data shown in Figures 6 and 9,"data verified directly with Shiozaki. He also verified that all ""nan"" were ""below detection limit""",Y,Shiozaki 2014 (A1),qPCR,05/13/2010,21.366666666666667,122.5,75.0,33540.102780551104,,,29129.06390501398,,1581.7811257987526,,,,,
24,"Takuhei Shiozaki et al., 2014. Continental Shelf Research",data shown in Figures 6 and 9,"data verified directly with Shiozaki. He also verified that all ""nan"" were ""below detection limit""",Y,Shiozaki 2014 (A1),qPCR,05/13/2010,21.366666666666667,122.5,100.0,4704.9256729621175,,,1561.3122492032244,,4130.217773505703,,,,,
25,"Takuhei Shiozaki et al., 2014. Continental Shelf Research",data shown in Figures 6 and 9,"data verified directly with Shiozaki. He also verified that all ""nan"" were ""below detection limit""",Y,Shiozaki 2014 (A1),qPCR,05/13/2010,21.366666666666667,122.5,140.0,2907.8819183761525,,,0.0,,4052.000000000004,,,,,
26,"Takuhei Shiozaki et al., 2014. Continental Shelf Research",data shown in Figures 6 and 9,"data verified directly with Shiozaki. He also verified that all ""nan"" were ""below detection limit""",Y,Shiozaki 2014 (A1),qPCR,05/13/2010,21.366666666666667,122.5,200.0,0,,,0.0,,0.0,,,,,
27,"Takuhei Shiozaki et al., 2014. Continental Shelf Research",data shown in Figures 6 and 9,"data verified directly with Shiozaki. He also verified that all ""nan"" were ""below detection limit""",Y,Shiozaki 2014 (A1),qPCR,05/14/2010,21.0,120.0,5.0,10744.86014176218,,,56325.12252324416,,28591.488581067173,,,,,
28,"Takuhei Shiozaki et al., 2014. Continental Shelf Research",data shown in Figures 6 and 9,"data verified directly with Shiozaki. He also verified that all ""nan"" were ""below detection limit""",Y,Shiozaki 2014 (A1),qPCR,05/14/2010,21.0,120.0,15.0,9620.391965890834,,,45406.62844025612,,10120.378771056307,,,,,
29,"Takuhei Shiozaki et al., 2014. Continental Shelf Research",data shown in Figures 6 and 9,"data verified directly with Shiozaki. He also verified that all ""nan"" were ""below detection limit""",Y,Shiozaki 2014 (A1),qPCR,05/14/2010,21.0,120.0,30.0,20673.689694050125,,,28931.64380567761,,62168.443385865496,,,,,
30,"Takuhei Shiozaki et al., 2014. Continental Shelf Research",data shown in Figures 6 and 9,"data verified directly with Shiozaki. He also verified that all ""nan"" were ""below detection limit""",Y,Shiozaki 2014 (A1),qPCR,05/14/2010,21.0,120.0,50.0,11037.958258273666,,,4714.631433168412,,8284.661098358083,,,,,
31,"Takuhei Shiozaki et al., 2014. Continental Shelf Research",data shown in Figures 6 and 9,"data verified directly with Shiozaki. He also verified that all ""nan"" were ""below detection limit""",Y,Shiozaki 2014 (A1),qPCR,05/14/2010,21.0,120.0,70.0,3333.3488503376034,,,2467.287548156255,,2090.1611295456355,,,,,
32,"Takuhei Shiozaki et al., 2014. Continental Shelf Research",data shown in Figures 6 and 9,"data verified directly with Shiozaki. He also verified that all ""nan"" were ""below detection limit""",Y,Shiozaki 2014 (A1),qPCR,05/14/2010,21.0,120.0,100.0,2984.5081346996676,,,0.0,,3228.886408924118,,,,,
33,"Takuhei Shiozaki et al., 2014. Continental Shelf Research",data shown in Figures 6 and 9,"data verified directly with Shiozaki. He also verified that all ""nan"" were ""below detection limit""",Y,Shiozaki 2014 (A1),qPCR,05/14/2010,21.0,120.0,150.0,5393.327178721962,,,0.0,,7128.050484910834,,,,,
34,"Takuhei Shiozaki et al., 2014. Continental Shelf Research",data shown in Figures 6 and 9,"data verified directly with Shiozaki. He also verified that all ""nan"" were ""below detection limit""",Y,Shiozaki 2014 (A1),qPCR,05/14/2010,21.0,120.0,200.0,1609.136058791118,,,0.0,,1150.354688705864,,,,,
35,"Takuhei Shiozaki et al., 2014. Continental Shelf Research",data shown in Figures 6 and 9,"data verified directly with Shiozaki. He also verified that all ""nan"" were ""below detection limit""",Y,Shiozaki 2014 (A1),qPCR,05/14/2010,21.0,119.5,5.0,10266.744800993236,,,26856.435662769796,,96874.34228915024,,,,,
36,"Takuhei Shiozaki et al., 2014. Continental Shelf Research",data shown in Figures 6 and 9,"data verified directly with Shiozaki. He also verified that all ""nan"" were ""below detection limit""",Y,Shiozaki 2014 (A1),qPCR,05/14/2010,21.0,119.5,12.0,8502.30669865705,,,16005.058856742962,,20137.74174415866,,,,,
37,"Takuhei Shiozaki et al., 2014. Continental Shelf Research",data shown in Figures 6 and 9,"data verified directly with Shiozaki. He also verified that all ""nan"" were ""below detection limit""",Y,Shiozaki 2014 (A1),qPCR,05/14/2010,21.0,119.5,33.0,46386.274166217045,,,4383.64531725538,,13373.728137169697,,,,,
38,"Takuhei Shiozaki et al., 2014. Continental Shelf Research",data shown in Figures 6 and 9,"data verified directly with Shiozaki. He also verified that all ""nan"" were ""below detection limit""",Y,Shiozaki 2014 (A1),qPCR,05/14/2010,21.0,119.5,45.0,21011.872042327104,,,1300.6628842463456,,14384.333625239457,,,,,
39,"Takuhei Shiozaki et al., 2014. Continental Shelf Research",data shown in Figures 6 and 9,"data verified directly with Shiozaki. He also verified that all ""nan"" were ""below detection limit""",Y,Shiozaki 2014 (A1),qPCR,05/14/2010,21.0,119.5,77.0,2784.9666369438723,,,1325.9122009033379,,3513.0696235047258,,,,,
40,"Takuhei Shiozaki et al., 2014. Continental Shelf Research",data shown in Figures 6 and 9,"data verified directly with Shiozaki. He also verified that all ""nan"" were ""below detection limit""",Y,Shiozaki 2014 (A1),qPCR,05/14/2010,21.0,119.5,100.0,1609.136058791118,,,1164.547173129398,,3490.444741801162,,,,,
41,"Takuhei Shiozaki et al., 2014. Continental Shelf Research",data shown in Figures 6 and 9,"data verified directly with Shiozaki. He also verified that all ""nan"" were ""below detection limit""",Y,Shiozaki 2014 (A1),qPCR,05/14/2010,21.0,119.5,150.0,2315.990464489906,,,1334.6081326319186,,1415.9234256130578,,,,,
42,"Takuhei Shiozaki et al., 2014. Continental Shelf Research",data shown in Figures 6 and 9,"data verified directly with Shiozaki. He also verified that all ""nan"" were ""below detection limit""",Y,Shiozaki 2014 (A1),qPCR,05/14/2010,21.0,119.5,200.0,1248.6961335094898,,,0.0,,1259.7888695372633,,,,,
43,"Takuhei Shiozaki et al., 2014. Continental Shelf Research",data shown in Figures 6 and 9,"data verified directly with Shiozaki. He also verified that all ""nan"" were ""below detection limit""",Y,Shiozaki 2014 (A1),qPCR,05/15/2010,21.0,118.0,5.0,15584.193440433257,,,4031.1560517203075,,807222.9810684518,,,,,
44,"Takuhei Shiozaki et al., 2014. Continental Shelf Research",data shown in Figures 6 and 9,"data verified directly with Shiozaki. He also verified that all ""nan"" were ""below detection limit""",Y,Shiozaki 2014 (A1),qPCR,05/15/2010,21.0,118.0,22.0,13846.396602657176,,,2571.9352705708125,,173747.58104775817,,,,,
45,"Takuhei Shiozaki et al., 2014. Continental Shelf Research",data shown in Figures 6 and 9,"data verified directly with Shiozaki. He also verified that all ""nan"" were ""below detection limit""",Y,Shiozaki 2014 (A1),qPCR,05/15/2010,21.0,118.0,59.0,2840.4737891104155,,,3276.540650796869,,9553.354570215055,,,,,
46,"Takuhei Shiozaki et al., 2014. Continental Shelf Research",data shown in Figures 6 and 9,"data verified directly with Shiozaki. He also verified that all ""nan"" were ""below detection limit""",Y,Shiozaki 2014 (A1),qPCR,05/15/2010,21.0,118.0,80.0,1844.5769058612523,,,1677.7172386655652,,8329.650260927101,,,,,
47,"Takuhei Shiozaki et al., 2014. Continental Shelf Research",data shown in Figures 6 and 9,"data verified directly with Shiozaki. He also verified that all ""nan"" were ""below detection limit""",Y,Shiozaki 2014 (A1),qPCR,05/15/2010,21.0,118.0,100.0,0,,,721.9178279476515,,5569.917556209954,,,,,
48,"Takuhei Shiozaki et al., 2014. Continental Shelf Research",data shown in Figures 6 and 9,"data verified directly with Shiozaki. He also verified that all ""nan"" were ""below detection limit""",Y,Shiozaki 2014 (A1),qPCR,05/15/2010,21.0,118.0,138.0,2660.134411602081,,,4238.804051806044,,2035.745544373474,,,,,
49,"Takuhei Shiozaki et al., 2014. Continental Shelf Research",data shown in Figures 6 and 9,"data verified directly with Shiozaki. He also verified that all ""nan"" were ""below detection limit""",Y,Shiozaki 2014 (A1),qPCR,05/15/2010,21.0,118.0,200.0,3376.9821648207,,,2136.7896280596246,,2230.333291225376,,,,,
50,"Takuhei Shiozaki et al., 2014. Continental Shelf Research",data shown in Figures 6 and 9,"data verified directly with Shiozaki. He also verified that all ""nan"" were ""below detection limit""",Y,Shiozaki 2014 (A1),qPCR,05/15/2010,21.0,117.6,5.0,15067.76252707691,,,0.0,,307603.14180504874,,,,,
51,"Takuhei Shiozaki et al., 2014. Continental Shelf Research",data shown in Figures 6 and 9,"data verified directly with Shiozaki. He also verified that all ""nan"" were ""below detection limit""",Y,Shiozaki 2014 (A1),qPCR,05/15/2010,21.0,117.6,20.0,53199.159020135,,,2599.751077998435,,303635.65421610366,,,,,
52,"Takuhei Shiozaki et al., 2014. Continental Shelf Research",data shown in Figures 6 and 9,"data verified directly with Shiozaki. He also verified that all ""nan"" were ""below detection limit""",Y,Shiozaki 2014 (A1),qPCR,05/15/2010,21.0,117.6,26.0,14866.5226651814,,,5454.926547545186,,67346.24676382997,,,,,
53,"Takuhei Shiozaki et al., 2014. Continental Shelf Research",data shown in Figures 6 and 9,"data verified directly with Shiozaki. He also verified that all ""nan"" were ""below detection limit""",Y,Shiozaki 2014 (A1),qPCR,05/15/2010,21.0,117.6,54.0,7369.003570654061,,,5790.687722186136,,1601.7722556399533,,,,,
54,"Takuhei Shiozaki et al., 2014. Continental Shelf Research",data shown in Figures 6 and 9,"data verified directly with Shiozaki. He also verified that all ""nan"" were ""below detection limit""",Y,Shiozaki 2014 (A1),qPCR,05/15/2010,21.0,117.6,74.0,2553.270144029831,,,6818.4551108906435,,6060.322935416302,,,,,
55,"Takuhei Shiozaki et al., 2014. Continental Shelf Research",data shown in Figures 6 and 9,"data verified directly with Shiozaki. He also verified that all ""nan"" were ""below detection limit""",Y,Shiozaki 2014 (A1),qPCR,05/15/2010,21.0,117.6,127.0,1193.1327506908192,,,1343.3610962126613,,2490.535674509372,,,,,
56,"Takuhei Shiozaki et al., 2014. Continental Shelf Research",data shown in Figures 6 and 9,"data verified directly with Shiozaki. He also verified that all ""nan"" were ""below detection limit""",Y,Shiozaki 2014 (A1),qPCR,05/15/2010,21.0,117.0,5.0,11641.428461841178,,,1597.4295983653878,,243137.9493696496,,,,,
57,"Takuhei Shiozaki et al., 2014. Continental Shelf Research",data shown in Figures 6 and 9,"data verified directly with Shiozaki. He also verified that all ""nan"" were ""below detection limit""",Y,Shiozaki 2014 (A1),qPCR,05/15/2010,21.0,117.0,11.0,18918.59006963703,,,2217.504639002024,,573607.4284152794,,,,,
58,"Takuhei Shiozaki et al., 2014. Continental Shelf Research",data shown in Figures 6 and 9,"data verified directly with Shiozaki. He also verified that all ""nan"" were ""below detection limit""",Y,Shiozaki 2014 (A1),qPCR,05/15/2010,21.0,117.0,28.0,3226.7161811595024,,,1657.757683453938,,16900.430482193744,,,,,
59,"Takuhei Shiozaki et al., 2014. Continental Shelf Research",data shown in Figures 6 and 9,"data verified directly with Shiozaki. He also verified that all ""nan"" were ""below detection limit""",Y,Shiozaki 2014 (A1),qPCR,05/15/2010,21.0,117.0,39.0,2142.144518788488,,,1118.6668457468834,,5427.161769565248,,,,,
60,"Takuhei Shiozaki et al., 2014. Continental Shelf Research",data shown in Figures 6 and 9,"data verified directly with Shiozaki. He also verified that all ""nan"" were ""below detection limit""",Y,Shiozaki 2014 (A1),qPCR,05/15/2010,21.0,117.0,66.0,3156.3677392501513,,,1953.2910459864383,,12326.775395022081,,,,,
61,"Takuhei Shiozaki et al., 2014. Continental Shelf Research",data shown in Figures 6 and 9,"data verified directly with Shiozaki. He also verified that all ""nan"" were ""below detection limit""",Y,Shiozaki 2014 (A1),qPCR,05/15/2010,21.0,117.0,100.0,2060.1781033948114,,,1688.720466901463,,6508.857551393621,,,,,
62,"Takuhei Shiozaki et al., 2014. Continental Shelf Research",data shown in Figures 6 and 9,"data verified directly with Shiozaki. He also verified that all ""nan"" were ""below detection limit""",Y,Shiozaki 2014 (A1),qPCR,05/15/2010,21.0,117.0,150.0,2760.481029629218,,,1623.7672094402674,,0.0,,,,,
63,"Takuhei Shiozaki et al., 2014. Continental Shelf Research",data shown in Figures 6 and 9,"data verified directly with Shiozaki. He also verified that all ""nan"" were ""below detection limit""",Y,Shiozaki 2014 (A1),qPCR,05/15/2010,21.0,117.0,200.0,2439.6569737435702,,,1481.7596591627573,,2145.1406213927003,,,,,
64,"Takuhei Shiozaki et al., 2014. Continental Shelf Research",data shown in Figures 6 and 9,"data verified directly with Shiozaki. He also verified that all ""nan"" were ""below detection limit""",Y,Shiozaki 2014 (A1),qPCR,05/16/2010,21.0,116.5,5.0,16971.45485029928,,,2331.3201919287453,,48410.239690351875,,,,,
65,"Takuhei Shiozaki et al., 2014. Continental Shelf Research",data shown in Figures 6 and 9,"data verified directly with Shiozaki. He also verified that all ""nan"" were ""below detection limit""",Y,Shiozaki 2014 (A1),qPCR,05/16/2010,21.0,116.5,13.0,20453.93007734739,,,2468.2759349498933,,22780.946648346948,,,,,
66,"Takuhei Shiozaki et al., 2014. Continental Shelf Research",data shown in Figures 6 and 9,"data verified directly with Shiozaki. He also verified that all ""nan"" were ""below detection limit""",Y,Shiozaki 2014 (A1),qPCR,05/16/2010,21.0,116.5,36.0,21406.455725793407,,,3707.1812596729196,,24308.70184945137,,,,,
67,"Takuhei Shiozaki et al., 2014. Continental Shelf Research",data shown in Figures 6 and 9,"data verified directly with Shiozaki. He also verified that all ""nan"" were ""below detection limit""",Y,Shiozaki 2014 (A1),qPCR,05/16/2010,21.0,116.5,49.0,9230.856366972244,,,7021.982890749757,,4725.273964701474,,,,,
68,"Takuhei Shiozaki et al., 2014. Continental Shelf Research",data shown in Figures 6 and 9,"data verified directly with Shiozaki. He also verified that all ""nan"" were ""below detection limit""",Y,Shiozaki 2014 (A1),qPCR,05/16/2010,21.0,116.5,83.0,0,,,3216.8587618440074,,1782.1876497690089,,,,,
69,"Takuhei Shiozaki et al., 2014. Continental Shelf Research",data shown in Figures 6 and 9,"data verified directly with Shiozaki. He also verified that all ""nan"" were ""below detection limit""",Y,Shiozaki 2014 (A1),qPCR,05/16/2010,21.0,116.5,100.0,2392.5265560313787,,,2068.077296669497,,2539.5090623152305,,,,,
70,"Takuhei Shiozaki et al., 2014. Continental Shelf Research",data shown in Figures 6 and 9,"data verified directly with Shiozaki. He also verified that all ""nan"" were ""below detection limit""",Y,Shiozaki 2014 (A1),qPCR,05/16/2010,21.0,116.5,150.0,2536.72136667079,,,1155.8348022560076,,4525.231139330148,,,,,
71,"Takuhei Shiozaki et al., 2014. Continental Shelf Research",data shown in Figures 6 and 9,"data verified directly with Shiozaki. He also verified that all ""nan"" were ""below detection limit""",Y,Shiozaki 2014 (A1),qPCR,05/16/2010,21.0,116.5,200.0,2156.119200114585,,,1126.0035687297632,,0.0,,,,,
72,"Takuhei Shiozaki et al., 2014. Continental Shelf Research",data shown in Figures 6 and 9,"data verified directly with Shiozaki. He also verified that all ""nan"" were ""below detection limit""",Y,Shiozaki 2014 (A1),qPCR,09/05/2010,21.383333333333333,122.5,5.0,0,,,173282.29932362543,,11010.022173916603,,,,,
73,"Takuhei Shiozaki et al., 2014. Continental Shelf Research",data shown in Figures 6 and 9,"data verified directly with Shiozaki. He also verified that all ""nan"" were ""below detection limit""",Y,Shiozaki 2014 (A1),qPCR,09/05/2010,21.383333333333333,122.5,15.0,1227.7353679844023,,,110121.6644454559,,3573.5903520479937,,,,,
74,"Takuhei Shiozaki et al., 2014. Continental Shelf Research",data shown in Figures 6 and 9,"data verified directly with Shiozaki. He also verified that all ""nan"" were ""below detection limit""",Y,Shiozaki 2014 (A1),qPCR,09/05/2010,21.383333333333333,122.5,30.0,1437.73805128054,,,233634.38865122962,,33066.23644907146,,,,,
75,"Takuhei Shiozaki et al., 2014. Continental Shelf Research",data shown in Figures 6 and 9,"data verified directly with Shiozaki. He also verified that all ""nan"" were ""below detection limit""",Y,Shiozaki 2014 (A1),qPCR,09/05/2010,21.383333333333333,122.5,50.0,0,,,95597.99129151026,,4860.475596461079,,,,,
76,"Takuhei Shiozaki et al., 2014. Continental Shelf Research",data shown in Figures 6 and 9,"data verified directly with Shiozaki. He also verified that all ""nan"" were ""below detection limit""",Y,Shiozaki 2014 (A1),qPCR,09/05/2010,21.383333333333333,122.5,75.0,0,,,2326.337743700428,,11085.895155775239,,,,,
77,"Takuhei Shiozaki et al., 2014. Continental Shelf Research",data shown in Figures 6 and 9,"data verified directly with Shiozaki. He also verified that all ""nan"" were ""below detection limit""",Y,Shiozaki 2014 (A1),qPCR,09/05/2010,21.383333333333333,122.5,100.0,0,,,1798.840955742471,,61570.79581338055,,,,,
78,"Takuhei Shiozaki et al., 2014. Continental Shelf Research",data shown in Figures 6 and 9,"data verified directly with Shiozaki. He also verified that all ""nan"" were ""below detection limit""",Y,Shiozaki 2014 (A1),qPCR,09/05/2010,21.383333333333333,122.5,115.0,0,,,1730.7756117770466,,24793.438814012254,,,,,
79,"Takuhei Shiozaki et al., 2014. Continental Shelf Research",data shown in Figures 6 and 9,"data verified directly with Shiozaki. He also verified that all ""nan"" were ""below detection limit""",Y,Shiozaki 2014 (A1),qPCR,09/05/2010,21.383333333333333,122.5,150.0,0,,,0.0,,7245.039656323221,,,,,
80,"Takuhei Shiozaki et al., 2014. Continental Shelf Research",data shown in Figures 6 and 9,"data verified directly with Shiozaki. He also verified that all ""nan"" were ""below detection limit""",Y,Shiozaki 2014 (A1),qPCR,09/05/2010,21.383333333333333,122.5,200.0,0,,,0.0,,16633.160068721358,,,,,
81,"Takuhei Shiozaki et al., 2014. Continental Shelf Research",data shown in Figures 6 and 9,"data verified directly with Shiozaki. He also verified that all ""nan"" were ""below detection limit""",Y,Shiozaki 2014 (A1),qPCR,09/06/2010,21.0,120.0,5.0,1102.7416220469229,,,5050.156240177393,,26168.579000803973,,,,,
82,"Takuhei Shiozaki et al., 2014. Continental Shelf Research",data shown in Figures 6 and 9,"data verified directly with Shiozaki. He also verified that all ""nan"" were ""below detection limit""",Y,Shiozaki 2014 (A1),qPCR,09/06/2010,21.0,120.0,30.0,0,,,3228.975627585247,,10451.840340983561,,,,,
83,"Takuhei Shiozaki et al., 2014. Continental Shelf Research",data shown in Figures 6 and 9,"data verified directly with Shiozaki. He also verified that all ""nan"" were ""below detection limit""",Y,Shiozaki 2014 (A1),qPCR,09/06/2010,21.0,120.0,50.0,0,,,4017.84119203631,,11158.678549881008,,,,,
84,"Takuhei Shiozaki et al., 2014. Continental Shelf Research",data shown in Figures 6 and 9,"data verified directly with Shiozaki. He also verified that all ""nan"" were ""below detection limit""",Y,Shiozaki 2014 (A1),qPCR,09/06/2010,21.0,120.0,100.0,0,,,3487.9380839472046,,12971.158522976828,,,,,
85,"Takuhei Shiozaki et al., 2014. Continental Shelf Research",data shown in Figures 6 and 9,"data verified directly with Shiozaki. He also verified that all ""nan"" were ""below detection limit""",Y,Shiozaki 2014 (A1),qPCR,09/06/2010,21.0,120.0,120.0,0,,,0.0,,5257.542196314234,,,,,
86,"Takuhei Shiozaki et al., 2014. Continental Shelf Research",data shown in Figures 6 and 9,"data verified directly with Shiozaki. He also verified that all ""nan"" were ""below detection limit""",Y,Shiozaki 2014 (A1),qPCR,09/06/2010,21.0,120.0,200.0,0,,,0.0,,2593.264213790201,,,,,
87,"Takuhei Shiozaki et al., 2014. Continental Shelf Research",data shown in Figures 6 and 9,"data verified directly with Shiozaki. He also verified that all ""nan"" were ""below detection limit""",Y,Shiozaki 2014 (A1),qPCR,09/06/2010,21.0,119.5,5.0,2100.1957096844694,,,2570.361467661057,,5813.217213341483,,,,,
88,"Takuhei Shiozaki et al., 2014. Continental Shelf Research",data shown in Figures 6 and 9,"data verified directly with Shiozaki. He also verified that all ""nan"" were ""below detection limit""",Y,Shiozaki 2014 (A1),qPCR,09/06/2010,21.0,119.5,15.0,0,,,4841.286306809887,,67478.08779134203,,,,,
89,"Takuhei Shiozaki et al., 2014. Continental Shelf Research",data shown in Figures 6 and 9,"data verified directly with Shiozaki. He also verified that all ""nan"" were ""below detection limit""",Y,Shiozaki 2014 (A1),qPCR,09/06/2010,21.0,119.5,40.0,0,,,5435.215486527551,,54372.18262814959,,,,,
90,"Takuhei Shiozaki et al., 2014. Continental Shelf Research",data shown in Figures 6 and 9,"data verified directly with Shiozaki. He also verified that all ""nan"" were ""below detection limit""",Y,Shiozaki 2014 (A1),qPCR,09/06/2010,21.0,119.5,54.0,0,,,3695.70048520887,,8669.909271214965,,,,,
91,"Takuhei Shiozaki et al., 2014. Continental Shelf Research",data shown in Figures 6 and 9,"data verified directly with Shiozaki. He also verified that all ""nan"" were ""below detection limit""",Y,Shiozaki 2014 (A1),qPCR,09/06/2010,21.0,119.5,93.0,0,,,0.0,,2627.4276561636793,,,,,
